"Dato (Date)","Dokumenttitel (Title of the document)"
1871-08-09,"Bekendtgørelse om Karaktergivningen m. V. i de lærde Skoler"
1871-08-25,"Bekendtgørelse om Forandring i Fordringerne ved Afgangsexamen for Realdisciple og ved almindelig Forberedelsesexamen, begge af høiere Grad"
1871-08-25,"Bekendtgørelse om Karaktergivningen ved Afgangsexamen for Realdisciple og ved almindelig Forberedelsesexamen ved Universitetet, begge af høiere Grad"
1871-12-30,"Bekendtgørelse om Skolelærerexamens Afholdelse i 1872"
1872-01-13,"Bekendtgørelse om Indsendelse af Andragender om Deltagelse i det fuldstændige Kursus til begavede Seminaristers videre Uddanelse og i Feriekursus for Lærere samt om Understøttelse til Anskaffelse af Læremidler"
1872-03-09,"Lov om Nedlæggelsen af det kongelige Skolelærereseminarien i Lyngby"
1872-04-29,"Bekendtgørelse angaaende Afholdelse af en Examen for Lærerinder i Kjøbenhavn i Oktober 1872"
1872-08-17,"Bekendtgørelse angaaende Indsendelse af Andragender om Deltagelse i et ved Finansloven for 1872-73 bevilget Beløbaf 600 Rd. til Undersstøttelse af Saadanne, der modtage deres Uddannelse til Lærere paa  private Seminarier"
1872-08-22,"Bekendtgørelse om Forhøielse af Skolepengene i de offentlige lærde Skoler og Rønne høiere Realskole"
1872-08-22,"Bekendtgørelse om Forhøielse af Skolepengene og Elevkontingentet for Sorø lærde Skole og Akademiets Opdragelsesanstalt"
1872-12-21,"Bekendtgørelse angaaende Skolelærerexamens Afholdelse i 1873"
1873-01-04,"Bekjendtgjørelse fra Ministriet for Kirke- og Undervisningsvæsenet angaaende Indsendelse af Andragender om Deltagelse i Kursus for Skolelærere m.fl. i Sommeren 1873 eller om Understøttelse til Anskaffelse af Læremidler"
1873-08-05,"Bekjendtgjørelse angaaende Afholdelse af en Eksamen for Lærerinder i Kjøbenhavn i Oktober 1873"
1873-08-13,"Bekjendtgjørelse angaaende nogle forandrede eller mærmere Bestemmelser for Afholdelsen af den filologisk-historiske Skoleembedsexamen ved Universitetet"
1873-08-29,"Bekjendtgjørelse om Afholdelse sidste Gang af Afgangsexamen for Studerende og den samme forudgaaende præliminære Prøve efter den gamle Form"
1874-01-16,"Bekjendtgjørelse om Indsendelse af Andragender om Deltagelse i det fuldstændige Kursus til begavede Seminaristers videre Uddannelse og i Feriekursus for Lærere samt om Understøttelse til Anskaffelse af Læremidler"
1874-05-16,"Bekjendtgjørelse angaaende et paatænkt Kursus i Husflidsgjerning for Lærere og Lærerinder"
1874-05-21,"Bekjendtgjørelse angaaende Afholdelse af en Examen for Lærerinder i Oktober 1874"
1874-05-22,"Bekjendtgjørelse om Indretning af en Tillægsexamen i dobbelt Retning for Erhvervelse af akademisk Borgerret ved Kjøbenhavns Universitet uden Afgangsexamen ved de lærde Skoler"
1874-12-19,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i Aaret 1875"
1875-01-05,"Bekjendtgjørelse angaaende Indsendelse af Andragende om Deltagelse i Kursus for Skolelærere m. fl. i Sommeren 1875 eller om Understøttelse til Anskaffelse af Læremidler"
1875-04-17,"Lov om Afhændelse af nogle det nedlagte kongelige Skolelærer-Seminarium i Lyngby tilhørende Ejendele"
1875-06-01,"Bekjendtgjørelse om en Tillægsbestemmelse angaaende Karakterberegningen ved de lærde Skolers Afgangsexamen"
1875-06-25,"Anordning angaaende Kvinders Adgang til at erhverve akademisk Borgerret ved Kjøbenhavns Universitet"
1875-06-28,"Bekjendtgjørelse om nogle Forandringer i reglementet for den polytekniske Læreanstalt"
1875-06-30,"Bekjendtgjørelse angaaende Afholdelse af en Examen for Lærerinder i Kjøbenhavn Oktober 1875"
1876-01-17,"Bekjendtgjørelse fra Ministeriet for Kirke- og Undervisningsvæsenet om Indsendelse af Andragender om Deltagelse i det fuldstændige Kursus til begavede Seminaristers videre Uddannelse og i Feriekursus for lærere"
1876-03-28,"Bekjendtgjørelse om den for Privatister anordnede Prøve i Afslutningsfagene ved de lærde Skolers fjerde fjerde Klasses Hovedexamen m.v."
1876-06-28,"Bekjendtgjørelse om en Afslutningsprøve i Religion for kvindelige theologiske Studerende ved Kjøbenhavns Universitet"
1876-12-29,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1877"
1877-05-02,"Bekjendtgjørelse angaaende Tilladelse for Kvinder til at indstille sig til Exmanen for Tandlæger"
1877-06-15,"Anordning angaaende en forandring i Religionsundervisningen i de lærde Skoler"
1877-07-05,"Bekjendtgjørelse angaaende Afholdelse af Examen for Lærerinder i Oktober 1877"
1877-12-14,"Lov om en Realskole paa Mødrubvellir i Hørgardal"
1877-12-31,"Bekjendtgjørelse om Skolelærererexamens Afholdelse i 1878"
1878-01-11,"Bekjendtgjørelse om Indsendelse af Andragender om Deltagelse i det fuldstændige Kursus til begavede Seminaristers videre Uddannelse og i Feriekursus for Lærere samt om Understøttelse til Læremidlers Anskaffelse"
1878-06-29,"Bekjendtgjørelse angaaende Afholdelse af Examen for ærerinder i Oktober 1878"
1878-12-28,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1879"
1879-12-27,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1880"
1880-01-09,"Lov om Børns Undervisning i Skrivning og Regning"
1880-01-24,"Bekjendtgjørelse angaaende Indkaldelse af Ansøgninger om Adgang til forskellige Undervisningskursus m.m."
1880-05-28,"Lov angaaende en forhøjet ligning til nogle af Amternes Skolefonds"
1880-06-29,"Bekjendtgjørelse angaaende Afholdelse af Examen for Lærerinder i Oktober 1880"
1880-10-16,"Bekjendtgjørelse angaaende nogle forandringer i Lov af 1ste Marts 1854 om Ordningen af Skole- og Undervisningsvæsenet paa Færøerne"
1881-04-23,"Lov angaaende en forhøiet Ligning til Skolefondene for Frederiksborg og Veile Amter"
1881-04-23,"Lov om midlertidige Tilskud til Skolefondene til Lønnungstillæg til Skolelærere og Lærerinder"
1881-07-20,"Bekjendtgjørelse om Afholdelse af Examen for Lærerinder i Oktober 1881"
1881-08-30,"Anordning angaaende en Sammensmeltning af de tvende Afgangsexaminer for Realdisciple af lavere og høiere Grad samt de tvende almindelige Forberedelsesexaminer af lavere og høiere Grad ved Universitetet til en enkelt almindelig Forberedelsesexamen"
1881-12-21,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1882"
1882-01-19,"Bekjendtgjørelse om forskellige Undervisningskursus og om Understøttelser til Skolers og Læreres Forsyning med Læremidler"
1882-03-13,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1882"
1882-06-16,"Kgl. anordning angående forandringer i og tillæg til de i forordningen af 5. august 1871 angående undervisningen i de lærde skoler indeholdte bestemmelser"
1882-06-19,"Bekjendtgjørelse om Ferier ved de lærde Skoler"
1882-06-21,"Ministerielt cirkulære med henvisning til den om forandringer i og tillæg til de i anordningen af 5. august 1871 angående undervisning i de lærde skoler indeholdte bestemmelser udgående kgl. anordning af 16. juni"
1882-07-08,"Bekjendtgjørelse om Afholdelsen af Examen for Lærerinder i Oktober 1882"
1883-03-30,"Lov angaaende en forhøiet Ligning til nogle Amternes Skolefonds"
1883-10-25,"Anordning om Indførelse af Skoleembedsexaminer ved Kjøbenhavns Universitet"
1883-11-13,"Anordning om en femaarig Understøttelse for Skoleinspektør paa St. Croir J. I. Quin"
1883-12-29,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1884"
1884-01-12,"Bekjendtgjørelse om forskellige Undervisningskursus og om Understøttelse til Skolers og Læreres Forsyning med Læremidler"
1884-05-07,"Anordning om Skole- og Undervisningsvæsenet paa St. Croir"
1884-10-12,"Bekjendtgjørelse vedrørende Skolelærerindeexamen"
1884-12-31,"Bekjendtgjørelse om Skolelærerexamens Afholdelse i 1885"
1885-01-06,"Bekjendtgjørelse om forskellige Undervisningskursus for Lærere og Lærerinder i Aaret 1885 og om Understøttelse til Skolers og Læreres Forsyning med Læremidler"
1887-04-01,"Lov angaaende en forhøiet Ligning til Aalborg. gl. Skanderborg og Randers Amters Skolefonds"
1888-03-01,"Lov angaaende en forhøiet Ligning til Aalborg Amt Skolefond"
1888-06-10,"Bekjendtgjørelse angaaende Afholdelse af almindelig Forberedelsesexamen ved Examenskommissionen i Kjøbenhavn tre Gange aarlig"
1889-01-05,"Bekjendtgjørelse angaaende en Tillægsexamen i Naturlære for dem, der have bestaaet 4de Klasses Hovedexamen i sproglig-historisk Retning"
1889-01-21,"Bekjendtgjørelse om Kontrol med Realskolernes Undervisning Gymnastik og Gang"
1889-04-06,"Bestemmelser om Skolelærer- og Skolelærerinde-Exsamen i Overensstemmelse med Lov af 25de Juli 1867."
1889-05-28,"Bekjendtgjørelse om Forandringer i de for Skolernes Examiner gjældende Regler"
1889-09-28,"Forhandlinger om en reform af undervisningen i de lærde skoler. Ministeriet for kirke og undervisning"
1890-01-07,"Bekjendtgjørelse om Forandring i allerhøieste Anordning af 25de Oktober 1883 om Indførelse af nye Skoleembedsexaminer"
1890-04-11,"Lov om Foranstaltninger til Døvstummes Undervisning"
1890-10-25,"Bekjendtgjørelse angaaende Tillægsbestemmelser til de for Skoleembedsexaminer og for den lægevidenskabelige Forberedelsesexamen gældende Regler med Hensyn til Prøverne i Fysik"
1891-01-17,"Bekjendtgjørelse om de lærde Skolers og Realskolernes Examensprotokoller"
1891-02-16,"Bekjendtgjørelse angaaende de private lærde Skolers og Realskolernes videnskabelige Samlinger"
1891-03-04,"Bekjendtgjørelse om Indretning af en Borgerskoleexamen"
1891-04-01,"Lov om Lønninger for Forstanderne og Lærerne ved Statsseminarierne"
1891-04-01,"Lov om Skolelærernes Enkeforsørgelsespligt og om Bonusudbetaling af Skolefondene til Skolelærere og Lærerinder"
1892-03-30,"Lov om en Statsskole til Uddannelse af Lærerinder i Forskolen"
1892-04-07,"Lov om en Statsskole til Uddannelse af Lærerinder i Forskolen (55)"
1892-04-12,"Lov om Lønninger for Rektorerne og Lærerne ved de lærde Skoler samt ved Sorø Akademis lærde Skole og Opdagelsesanstalt"
1892-07-30,"Bekendtgørelse angaaende Skolekontingengtet i Rønne lærde Skoles to øverste Klasser"
1892-08-22,"Bekendtgørelse om Forandring i allerhøieste Anordning af 25de Oktober 1883 om Indførelse af nye Skoleembedsexaminer"
1893-03-29,"Lov om Pensionering af Lærere og Lærerinder ved Almueskolevæsenet paa Færøerne"
