"Dato (Date)","Dokumenttitel (Title of the document)"
1924-08-20,"Bekendtgørelse om den ved kgl. Anordning af 13. August 1924 indrettede Skoleembedseksamen i den naturhistorisk-geografiske Faggruppe under det matematisk-naturvidenskabelige Fakultet"
1924-11-29,"Anordning om Skoleembedseksamen under det filosofiske Fakultet"
1924-12-02,"Bekendtgørelse om den ved kgl. Anordning af 29. November 1924 indrettede Skoleembedeksamen under det filosofiske Fakultet"
1925-01-21,"Anordning om Ændring af de kgl. Anordninger af 16. November 1906 og 27. April 1907 angaaende Undervisningen i Realklassen og angaaende Fordringerne ved og Eksamensopgivelserne til Realeksamen"
1925-01-21,"Anordning om Ændring af de kongelige Anordninger af 1. December 1906 og 23. Maj 1920 angaaende Undervisningen i Gymnasiet og angaaende Fordringerne ved og Eksamensopgivelserne til Studentereksamen m.m."
1925-05-11,"Bekendtgørelse om Tillæg til Undervisningsministeriets Bekendtgørelse af 2. December 1924 angaaende Indretning af Skoleembedseksamen under det filosofiske Fakultet"
1926-02-02,"Anordning angaaende Adagangen for Studenter af den klassisk-sproglige og den nysproglige Retning til gennem en Tillægsprøve eller gennem Adgangsprøve til polytekniske Læreanstalt at opnaa Rettigheder som Studenter af den matematisk-naturvidenskabelige"
1926-03-16,"Bekendtgørelse om Værdiansættelse efter dansk Karakterberegning af de ved tyske Eksaminer anvendte Standpunktskarakterer"
1926-03-31,"Lov om blinde Børns Undervisning"
1926-03-31,"Lov om døvstumme Børns Undervisning"
1926-04-15,"Anordning om Afgangsprøve fra det grønlandske Seminarium i København"
1926-04-20,"Anordning om Studentereksamen for Privatister"
1926-04-21,"Bekendtgørelse angaaende Studentereksamen for Privatister"
1926-12-01,"Bekendtgørelse angaaende Skolebørns Fribefordring paa Statsbanerne"
1927-01-12,"Bekendtgørelse om Tillæg til Bekendtgørelse af 20. August 1924 om den ved kgl. Anordning af 13. August 1924 indrettede Skoleembedseksamen i den naturhistorisk-geografiske Faggruppe under det matematisk-naturvidenskabelige Fakultet."
1927-07-29,"Bekendtgørelse af Lov Nr. 561 af 4. Oktober 1919 om Lønninger m.m. for Folkeskolens Lærere, saaledes som denne Lov er ændret ved de fra dens Ikrafttræden indtil Udgangen af Rigsdagssamlingen 1926-27 vedtagne Love om Tillæg til og Ændringer i bemeld"
1927-12-03,"Anordning om Prøve i Pædagogik og Skolehygiejne samt Undervisningsfærdighed for Lærere ved Gymnasieskoler"
1928-02-10,"Anordning om en forandret Indretning af Skoleembedseksamen i den naturhistorisk-geografiske Faggruppe under det matematisk-naturvidenskabelige Fakultet."
1928-02-22,"Bekendtgørelse om den ved kgl. Anordning af 20. Fabruar indrettede Skoleembedseksamen i den naturhistorisk-geografiske Faggruppe under det matematisk-naturvidenskabelige Fakultet."
1928-03-07,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne"
1928-03-19,"Bekendtgørelse om kgl. Anordning af 8. marts 1928 om Optagelsesprøve til 1. Mellemskoleklasse ved Statens og de kommunale Skoler i Københavns, Frederiksberg og Gentofte Kommuner."
1928-04-04,"Lov om Statstilskud til anerkendte private Seminarier"
1928-04-04,"Lov om Statstilskud til private, eksamensberettigede Realskoler, Mellem- og Realskoler og Pigeskoler udenfor København, Frederiksberg og Gentofte"
1928-05-12,"Bekendtgørelse angaaende Salg af eller Bestyrerskifte ved Realskoler, Mellem- og Realskoler og Pigeskoler uden for København, Frederiksberg og Gentofte."
1928-05-31,"Bekendtgørelse angaaende Statstilskud til private, eksamensberettigede Realskoler, Mellem- og Realskoler og Pigeskoler udenfor København, Frederiksberg og Gentofte."
1928-06-21,"Bekendtgørelse angaaende Ændring i Ministeriets Bekendtgørelses af 1. December 1926 om Skolebørns Fribefordring paa Statsbanerne."
1928-07-23,"Bekendtgørelse om Ændringer i de ved kgl. Resolution af 3. Februar 1910 fastsatte Bestemmelser for Færøernes Mellem- og Realskole."
1929-01-18,"Bekendtgørelse om, at Besiddelse af dansk Indfødsret fremtidig kræves som en almindelig Betingelse for Ansættelse i Folkeskolens Lærerembeder."
1929-03-12,"Anordning om Ændring i kongelig Anordning af 8. Marts 1928 om Optagelsesprøve til 1. Mellemskoleklasse ved Statens og de kommunale Skoler i Københavns, Frederiksberg og Gentofte Kommuner"
1929-11-11,"Anordning om, hvem der skal træffe Afgørelse af, hvorvidt de valgte Medlemmer af Skolekommissioner og Skoleraad er berettigede eller forpligtede til at nedlægge de nævnte dem paalagte Hverv"
1929-12-19,"Bekendtgørelse angaaende Gebyrer for de forskellige Tillægsprøver til den højere Almenskoles Eksaminer samt Almindelig Forberedelseseksamen."
1930-03-19,"Lov om Statstilskud til private Fortsættelsesskoler"
1930-04-15,"Lov om Seminarier"
1930-04-18,"Anordning angaaende Ændring i kongelig Anordning af 8. Marts 1928 om Optagelsesprøve til 1. Mellemskoleklasse ved Statens og de kommunale Skoler i København, Frederiksberg og Gentofte Kommuner"
1930-08-12,"Bekendtgørelse om prøver i Pædagogik (med Skolehygiejne) og i Undervisningsfærdighed for Lærere ved Statsseminarierne."
1930-08-13,"Bekendtgørelse om Gennemførelse af Lov af 15. April 1930 om Seminarier"
1931-04-28,"Lov om Lønninger m. m. for Folkeskolens Lærere. (Uddrag - ændring af Lov af 29.3.1904 om forskellige Forhold vedrørende Folkeskolen i § 51.)"
1931-05-04,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne (184)"
1931-08-15,"Tillæg til Bekendtgørelse af 13. August 1930 om Gennemgørelse af Lov af 15. April 1930 om Seminarier (220)"
1931-09-03,"Bekendtgørelse om de for Musikundervisningen paa Seminarierne obligatoriske Salmer og Sange (225)"
1932-06-29,"Bekendtgørelse om Optagelsesprøven, Undervisningen og den afsluttende Prøve paa Forskoleseminarierne (200)"
1933-05-23,"Den praktiske Mellemskole : Betænkning vedrørende Læseplaner m.v. for den udvidede Folkeskole"
1934-09-17,"Bekendtgørelse om Faget Pædagogik ved Seminarierne (268)"
1935-03-09,"Anordning angående undervisningen i gymnasiet (68)"
1936-04-27,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne (137)"
1937-05-14,"Bekendtgørelse om Adgang til Udstedelse af en Attestation vedrørende Eksamensbeviset for Lærere og Lærerinder, der er dimitteret i Henhold til Lov Nr. 37 af 30. Marts 1894 (199)"
1937-05-18,"Cirkulære til samtlige Skoledirektioner, Kommunalbestyrelser og Skolekommissioner vedrørende Lov om Folkeskolen af 18. Maj 1937"
1937-05-18,"Lov om folkeskolen, 18 maj 1937"
1937-05-19,"Bekendtgørelse angaaende Ændring af Bekendtgørelse Nr. 137 af 27. April 1936 om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne (200)"
1937-11-09,"Cirkulære til samtlige Skoledirektioner, Kommunalbestyrelser og Skolekommissioner vedrørende Lov om Folkeskolen af 18. maj 1937"
1938-05-18,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne (197)"
1940-02-23,"Bekendtgørelse om Sløjdlæreruddannelsen og de afsluttende Prøver for Sløjdlærere paa Dansk Sløjdlærerskole og det statsanerkendte Kursus i Askov Skolesløjd (59)"
1940-02-29,"Bekendtgørelse om Optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne (72)"
1940-03-15,"Bekendtgørelse om fribefordring for skoleelever m.v. på jernbaner"
1940-05-01,"Bekendtgørelse om Fribefordring for Skoleelever m.v. paa Jernbaner"
1940-08-14,"Bekendtgørelse angaaende Fastsættelse af Skoleafgiften for Finansåret 1940-41"
1940-10-01,"Anordning om Begrænsning i Anvendelsen af Censorer ved Eksaminer ved de højere Almenskoler og de højere Læreanstalter under Undervisningsministeriet"
1940-10-31,"Lov om Ændring af Lov Nr. 160 af 18. Maj 1937 om Folkeskolen"
1940-11-07,"Bekendtgørelse angaaende Ændring af Reglement af 23. Juli 1920 for Skoleraadene ved Statens højere Almenskoler"
1940-11-08,"Bekendtgørelse angaaende Ændringer i Bekendtgørelse af 31. maj. 1928 angaaende Statstilskud til private, eksamensberettigede Realskoler, Mellem- og Realskoler og Pigeskoler"
1941-01-14,"Bekendtgørelse om Understøttelse til ubemidlede Elever paa Forskoleseminarierne"
1941-03-05,"Bekendgørelse om Forlængelse af Valgperioden for forskellige til Folkeskolens Administration knyttede Kommissioner og Raad"
1941-03-31,"Lov om midlertidig Udvigelse af den offentlige Skolebespisning"
1941-04-30,"Bekendgørelse angaaende Fastsættelse af Skoleafgiften for Finansåret 1941-42"
1941-05-24,"Bekendtgørelse om Maalet for Folkeskolens Undervisning"
1941-06-27,"Undervisningsvejledning for den eksamensfri folkeskole / udarbejdet af det af Undervisningsministeriet under 27. juni 1941 nedsatte udvalg. Kaldet ""Den gule betænkning"""
1941-10-22,"Bekendtgørelse om et ekstraordinært Statstilskud til det kommunale Skolebygger som Middel til Fremme af Beskæftigelse"
1941-11-03,"Betænkning afgivet af det af Undervisningsministeriet den 3. november 1941 nedsatte Karakterudvalg"
1941-11-27,"Bekendtgørelse angaaende Ændringer i Bekendtgørelse af 31. maj. 1928 angaaende Statstilskud til private, eksamensberettigede Realskoler, Mellem- og Realskoler og Pigeskoler"
1941-11-27,"Undervisningsministeriets Skriv. ang., at det er en ufravigelig Betingelse paa et Forskoleseminarium, at den paagældende kan deltage i Gymnastikundervisningen"
1942-02-20,"Bekendgørelse om Forlængelse af Valgperioden for forskellige til Folkeskolens Administration knyttede Kommissioner og Raad"
1942-03-30,"Lov om midlertidig Udvigelse af den offentlige Skolebespisning"
1942-03-30,"Lov om Udskydelse af Tidsfristen i § 63, Stk. 3, 4 og 5, i Lov om Folkeskolen Nr. 160 af 18. Maj 1937 som ændret ved Lov Nr. 570 af 31. Oktober 1940"
1942-04-13,"Lov om Ekspropriation til offentlige højere Almenskoler"
1942-04-15,"Bekendtgørelse angaaende Fastsættelse af Skoleafgiften for Finansåret 1942-43"
1942-04-25,"Bkg. om midlertidig Ændring af Ministeriets Bekendtgørelse af 23. Februar 1940 angaaende Sløjdlæreruddannelsen"
1942-10-31,"Bekendtgørelse angaaende Dispensation fra de anordnede Bestemmelser om Eksamenspensa..."
1942-11-11,"Bekendtgørelse angaaende skriftlige Prøver i Regning og Matematik ved Realeksamen og Pigeskoleeksamen"
1942-12-19,"Lov om Udskydelse af Tidsfristen i § 63, Stk. 3, 4 og 5 i Lov om Folkeskolen Nr. 160 af 18. Maj 1937"
1943-02-06,"Kongelig anordning om ændring af bestemmelsene om karaktergivningen ved de højere almenskoler og disse skolers afsluttende eksaminer m.m."
1943-03-01,"Kongelig anordning angaaende adgangen for studenter af den klassisk-sproglige og nysproglige retning til gennem en tillægsprøve at opnå rettigheder som studenter."
1943-03-05,"Bekendtgørelse om ændring af bestemmelsene om karaktergivningen ved de højere almenskoler og disse skolers afsluttende eksaminer m.m."
1943-03-13,"Lov om midlertidig udvigelse af den offentlige skolebespisning"
1943-04-08,"Bekendtgørelse angaaende fastsættelse af skoleafgiften for finansåret 1943-44"
1943-04-08,"Bekendtgørelse om Ændring af Bestemmelserne vedrørende Betingelserne for Optagelse paa Seminarierne uden Prøve (192)"
1943-04-08,"Bekendtgøresle om fribefordring for skoleelever m.v. på jernbaner"
1943-05-13,"Bekendtgørelse om fortsættelsesklassen ved den landsbyordnede skole"
1943-05-24,"Bekendtgørelse angaaende prøven i stenografi ved realeksamen"
1943-07-16,"Anordning om en forandret indretning af skoleembedselsamen i den naturhistorisk-geografiske faggruppe under det matematisk-naturvidenskabelige fakultet"
1943-07-20,"Bekendtgørelse om den ved anordning af 16. juli 1943 indrettede skoleembedseksamen i den naturhistorisk-geografiske faggruppe..."
1943-09-10,"Bekendtgørelse vedrørende Eksamensordningen m.v. ved den polytekniske læreanstalt, Danmarks tekniske Højskole"
1943-11-25,"Bekendtgørelse angaaende Dispensation for visse dimittenders vedkommende fra bestemmelserne om læsepensa til studentereksamen for privatister i maj-juli eksamenstermin 1944"
1943-12-14,"Bekendtgørelse angaaende Dispensation for visse dimittenders vedkommende fra bestemmelserne om læsepensa til mellemskoleeksamen, realeksamen og almindelig forberedelseseksamen"
1944-03-11,"Bekendtgørelse angaaende de i Lov nr. 167 af 28. april 1931 om Folkeskolens Lønninger"
1944-03-15,"Lovanordning om Udskydelse af Tidsfristen i § 63, Stk. 3, 4 og 5 i Lov om Folkeskolen Nr. 160 af 18. Maj 1937"
1944-03-21,"Bekendtgørelse angaanede de i Lov om offentlig forsorg §§ 193, 215 og 236 omhandlede Normalbidrag for tiden fra 1. april 1944 til 31. marts 1946"
1944-04-19,"Bekendtgørelse angaaende Fastsættelse af skoleafgiften for Finansaaret 1944-45"
1944-05-01,"Bekendtgørelse om fribefordring for Skoleelever m.v. paa jernbaner"
1944-05-03,"Lovanordning om ændring i lov nr. 167 af 28. april 1931 om lønninger m.m. for Folkeskolens lærere"
1944-06-16,"Anordning om forældremøder og skolenævn ved statens højere almenskoler"
1944-06-16,"Bekendtgørelse angaaende valg til forældrerepræsentanter til de i anordning af 16. juni 1944 omhandlede skolenævn ved statens højere almenskoler"
1944-07-05,"Anordning angaaende almindelig forbedredelseseksamen"
1944-07-18,"Anordning om indretning af en psykologisk-pædagogisk eksamen ved Københavns Universitet"
1944-07-18,"Bekendtgørelse om den ved Anordning af 18. juli 1944 indrettede psykologisk-pædagogiske eksamen ved Københavns Universitet"
1944-09-06,"Bekendtgørelse om ændring af undervisningsministeriets bekendtgørelser nr. 45 af 2. marts 1908 og nr. 220 af 12. juni 1915"
1944-09-08,"Bekendtgørelse angaaende Dispensation fra de Bestemmelser om Eksamenspensa ved Studentereksamen m.m."
1944-09-30,"Bekendtgørelse angaaende almindelig forberedelseseksamen for privatister"
1944-10-30,"Bekendtgørelse om de kommunale Skolemyndigheders stilling til de kommunale eksamensskoler"
1945-01-30,"Bekendtgørelse ang. Ændring af Bekendtgørelse af 29. Februar 1940 om optagelsesprøven, Undervisningen og de afsluttende Prøver paa Seminarierne"
1945-02-21,"Lovanordning om udskydelse af tidsfristen i § 63, stk. 3, 4 og 5 i lov om folkeskolen nr. 160 af 18. maj 1937"
1945-03-03,"Lovanordning om udskyldelse af valg til skolekommissionerne i de sønderjyske landsdele"
1945-03-15,"Bekendtgørelse om prøver i pædagogik og undervisningsfærdighed for lærere ved statsseminarierne"
1945-03-20,"Lovanordning om midlertidig udvidelse af den offentlige skolebespisning"
1945-04-06,"Lovanordning om ændring i lov nr. 167 af 28. april 1931 om lønninger m.m. for folkeskolens lærere"
1945-04-09,"Bekendtgørelse angaaende fastsættelse af skoleafgiften for finansåret 1945-46"
1945-05-17,"Cirkulære ang. særlige Regler for Afholdelsen af Eksamen ved Seminarierne i Sommeren 1945"
1945-06-02,"Bekendtgørelse om fribefordring for skoleelever m.v. på jernbaner"
1945-06-13,"Bekendtgørelse om afholdelse om nyvalg til forældreråd og om oprettelse af nye forældreråd ved kommunale skoler udenfor København"
1945-06-20,"Anordning om forsat gyldighed af nogle af undervisningsministeriets i tiden fra 29. august 1943 til 4. maj 1945 udstedte anordninger"
1945-10-06,"Bekendtgørelse angaaende dispensation fra de anordnede bestemmelser om eksamenspansa ved studentereksamen..m.m."
1945-12-21,"Midlertidig lov om undervisning af børn, der hedtil har været undervist i de tysksprogede skoler i de sønderjyske landsdele"
1946-01-04,"Bekendtgørelse om midlertidig lov nr. 610 af 21. december 1945 om undervisning af børn, der hidtil har været undervist i de tysksprogede skoler i de sønderjyske landsdele"
1946-03-12,"Bekendtgørelse om Gyldigheden af de 1944 og 1945 ved de danske Skoler i Lund og Göteborg afholdte Mellemskole-, Real- og Studentereksaminer."
1946-03-15,"Lov om Ændring af Lov Nr. 160 af 18. Maj 1937 om Folkeskolen, saaledes som den er ændret ved Lov Nr. 570 af 31. Oktober 1940"
1946-03-29,"Bekendtgørelse vedrørende Uddannelse af Svømmelærere paa Seminarier og kursus uden for Danmarks Højskole for Legemsøvelser"
1946-03-30,"Lov om forlængelse af midlertidig Lov nr. 610 af 21. december 1945 om undervisning af børn, der hidtil har været undervist i de tysksprogede skoler i de sønderjydske landsdele"
1946-03-30,"Lov om midlertidig Udvidelse af den offentlige Skolebespisning"
1946-03-30,"Lov om udskydelse af valg til skolekommissionerne i de sønderjydske landsdele"
1946-04-11,"Bekendtgørelse angaaende fastsættelse af skoleafgiften for finansåret 1946-47"
1946-04-25,"Bekendtgørelse angaaende skolernes højtideligholdelse af årdagen for Danmarks befrielse"
1946-05-03,"Bekendtgørelse om fribefordring for skoleelever m.v. på jernbaner"
1946-06-07,"Kongelig anordning om ædring af den ved klg. resolution af 20. juni 1945 stadfæstede anordning af 5. juli 1944 om almindelig forberedelseeksamen"
1946-07-10,"Bekendtgørelse angaaende prøverne i skriftlig dansk ved mellemskoleeksamen"
1946-07-12,"Lov om Lønninger m. m. til Folkeskolens Lærere. (Uddrag - ændring af folkeskoleloven i § 49.)"
1946-07-12,"Lov om private tysksprogede skoler, tysksproget hjemmeundervisning m.m. i de sønderjydske landsdele"
1946-07-12,"Lov om skolelæger"
1946-07-12,"Lov om ændring i lov nr. 211 af 20. maj 1933 om folkeskolens styrelse og tilsyn og tilsynet med private skoler"
1946-08-09,"Bekendtgørelse om ændring af bekendtgørelse nr. 320 af 20. oktober 1944 om de kommunale skolemyndigheders stilling til de kommunale eksamensskoler"
1946-08-24,"Bekendtgørelse om gennemførelse af Lov om private tysksprogede skoler, tysksproget hjemmeundervisning m.m. i de sønderjydske landsdele"
1946-08-29,"Bekendtgørelse om aspiranttjeneste og praktisk virkesomhed som betingelse for ansættelse i folkeskolens lærerembeder"
1946-09-28,"Bekendtgørelse angaaende de i lov nr. 414 af 12. juli 1946 om lønninger m.m. til folkeskolens lærere § 38, stk. 1, omhandlede bestemmelser om det pligtige timetal for folkeskolens lærere"
1946-09-28,"Bekendtgørelse om tjenesteboliger for lærere i folkeskolen"
1946-09-30,"Bekendtgørelse om det i § 7, stk. 3, i lov nr. 414 af 12. juli 1946 om lønninger m.m. til folkeskolens lærere omhandlede tilskud fra statskassen til vikarudgifter for folkeskolens lærere under videre uddannelse"
1946-10-29,"Bekendtgørelse angaaende dispensation fra de anordnede bestemmelser om eksamenspensa ved studentereksamen og pigeskoleelsamen og om læsepensa ved studentereksamen"
1946-10-29,"Kongelig anordning om afholdelse af valg til skolekommissioner i de sønderjyske landsdele"
1946-11-16,"Bekendtgørelse angaaende valg af skolekommissioner i de sønderjyske landsdele"
1946-11-25,"Bekendtgørelse om adgang for folkeskolens lærere til at opnå lønforskud og til at give forskrivninger på lønning, efterindtægt, ventepenge og pension"
1946-11-29,"Tillæg til indenrigsministeriets bekendtgørelse af 16. november 1946 angaaende valg af skolekommissioner i de sønderjyske landsdele"
1947-03-15,"Lov om statstilskud til private gymnasieskoler og til private mellem- og realskoler og pigeskoler uden for København, Frederiksberg og Gentofte"
1947-03-15,"Lov om ændring af lov nr. 122 af 4. april 1928 om statstilskud til anerkendte private seminarier."
1947-04-29,"Bekendtgørelse angaaende fastsættelse af skoleafgiften for finansåret 1947-48"
1947-05-21,"Bekendtgørelse om fribefordring for skoleelever m.v. på jernbaner"
1947-06-04,"Lov om en midlertidig Ordning af Lærereksamen for Studenter (351)"
1947-06-04,"Lov om en midlertidig Ordning af Lærereksamen for Studenter (351)"
1947-06-04,"Lov om ændring af lov nr. 160 af 18. maj 1937 om folkeskolen"
1947-06-06,"Bekendtgørelse om 2½ Aars Uddannelse af Studenter som Lærere i Folkeskolen"
1947-06-06,"Bekendtgørelse om statstilskud til elever på seminarierne"
1947-08-01,"Betænkning for uddannelsen paa de anerkendte børnehaveseminarier, Børnehavelærerinder"
1947-08-27,"Bekendtgørelse om Indretning af en udvidet Sprogundervisning paa Seminariernes 4-aarige Linie (443)"
1947-09-06,"Bekendtgørelse om eksamensordningen ved de højere almenskolers offentlig kontrollerede eksaminer"
1947-09-16,"Bekendtgørelse af lov om statstilskud til anerkendte private seminarier af 4. april 1928"
1947-09-18,"Bekendtgørelse angaaende skolefrihed den 26. september 1947"
1947-10-07,"Bekendtgørelse angaaende ændring af undervisningsministeriets bekendtgørelse af 29. september 1944 angaaende almindelig forberedelseseksamen ved eksamensberettigede skoler"
1947-10-07,"Bekendtgørelse angaaende ændring af undervisningsministeriets bekendtgørelse af 30. september 1944 angaaende almindelig forberedelseseksamen for privatister"
1947-10-27,"Undervisningsministeriets bekendtgørelse af 27. oktober 1947 om ændring af bekendtgørelse nr. 72 af 29. februar 1940 om optagelsesprøven, undervisning og de afsluttende prøver på seminarierne"
1948-01-13,"Bekendtgørelse angaaende dispensation fra de anordnede bestemmelser om eksamenspensa ved studentereksamen"
1948-02-12,"Bekendtgørelse angaaende salg af eller bestyrerskifte ved realskoler, mellem- og realskoler og pigeskoler uden for København, Frederiksberg og Gentofte"
1948-03-23,"Lov om omdannelse af Ribe statsseminarium til fællesseminarium for mænd og kvinder"
1948-04-08,"Bekendtgørelse angaaende fastsættelse af skoleafgiften for finansåret 1948-49"
1948-04-27,"Bekendtgørelse angaaende skolernes højtideligholdelse af årsdagen for Danmarks befrielse"
1948-05-24,"Lov om midlertidig Ændring af Lov Nr. 130 af 15. April 1930 om Seminarier (244)"
1948-05-24,"Lov om statstilskud til private statsanerkendte studentereksamenskursus"
1948-05-24,"Lov om ændring af lov nr. 314 af 4. juli 1942 om efterskoler"
1948-05-26,"Bekendtgørelse om Fribefordring af skoleelever m.v."
1948-05-28,"Bekendtgørelse om provinslærerkursus"
1948-06-25,"Anordning om sproglig-historisk skoleembedseksamen ved Københavns og Århus Universiteter"
1948-07-05,"Bekendtgørelse om ændring af bekendtgørelse nr. 72 af 29. februar 1940 om optagelsesprøven, undervisningen og de afsluttende prøver på seminarierne"
1948-09-02,"Bekendtgørelse om den ved Kongelig anordning nr. 343 af 25. juli 1948 indrettede sproglig-historisk skoleembedseksamen"
1948-10-12,"Bekendtgørelse angående skolernes højtideligholdelse af Forenede Nationers dag den 24. oktober"
1948-10-22,"Bekendtgørelse om statstilskud til elever på forskoleseminarierne"
1948-11-29,"Bekendtgørelse angående dispensation fra de anordnede bestemmelser om eksamenspansa ved studentereksamen"
1948-11-29,"Bekendtgørelse om statstilskud til efterskoler"
1948-12-09,"Bekendtgørelse om ændring af bekendtgørelse af 20. juli 1920 om ferie- og fridag ved statens højere almenskoler og Sorø akademis skole"
1949-03-31,"Lov om oprettelse af et statsseminarium i København"
1949-04-08,"Bekendtgørelse om fribefordring af skoleelever m.v."
1949-04-12,"Lov om det kommunale skolevæsens styrelse og tilsyn"
1949-04-12,"Lov om lønninger og pensioner for lærere ved folkeskolen på Færøerne"
1949-04-12,"Lov om midlertidig ændring i bestemmelserne om tilskud til den offentlige skolebespisning"
1949-04-13,"Bekendtgørelse angående statstilskud til private, eksamensberettigede realskoler, mellem- og realskoler og pigeskoler uden for København, Frederiksberg og Gentofte"
1949-05-02,"Bekendtgørelse angående fastsættelse af skoleafgiften for finansåret 1949-50"
1949-06-14,"Bekendtgørelse om statsunderstøttelse til elever på børnehaveseminarier"
1949-07-16,"Supplement til bekendtgørelse nr. 250 af 2. maj 1949 angående fastsættelse af skoleafgiften for finansåret 1940-50"
1949-08-03,"Bekendtgørelse om inspektionen ved statens højere almenskoler"
1949-11-26,"Bekendtgørelse angående dispensation fra de anordnede bestemmelser om eksamenspensa ved studentereksamen"
1950-01-12,"Bekendtgørelse om fælleslærerråd og lærerråd ved kommunale skoler uden for København"
1950-03-10,"Bekendtgørelse om fribefordring af skoleelever m.v."
1950-03-10,"Bekendtgørelse om regler for valg af de i lov nr. 200 af 12. april 1949 omhandlede skoelkommissioner og skolenævn m.m. uden for København"
1950-03-16,"Bekendtgørelse angående ændringer i og tilføjelser til ministeriets bekendtgørelse nr. 378 af 6. september 1947"
1950-05-27,"Bekendtgørelse angående skolernes forhold i tilfælde af smitsomme sygdomme"
1950-05-27,"Lov om skolevæsenet i Grønland"
1950-05-27,"Lov om ændring af lov nr. 160 af 18. maj 1937 om folkeskolen, således som den er ændret ved lov nr. 96 af 15. marts 1946 og lov nr. 194 af 4. juni 1947, og om ændring af lov nr. 62 af 24. april 1903 om højere almenskoler"
1950-07-12,"Bekendtgørelse om tillæg til bekendtgørelse af 15. februar 1950 om valg af skolekommissioner og skolenævn m.m."
1950-08-14,"Anordning om ikrafttrædelse af lov nr. 274 af 27. maj 1950 om skolevæsenet i Grønland"
1950-08-23,"Bekendtgørelse om fastsættelse af skoleafgifter ved statens højere almenskoler m.v."
1950-08-25,"Bekendtgørelse om overgangsbestemmelser for skolevæsenet i grønland"
1950-09-09,"Bekendtgørelse om svømmeprøver for skoleelever"
1950-11-17,"Bekendtgørelse angående dispensationer fra de anordnede bestemmelser om eksamenspensa ved studentereksamen"
1951-01-27,"Bekendtgørelse om de kommunale skolemyndigheders stilling til de kommunale eksamensskoler"
1951-01-31,"Bekendtgørelse om ændring af bekendtgørelse nr. 72 af 29. februar 1940 om optagelsesprøven, undervisningen og de afsluttende prøver på seminarierne"
1951-04-04,"Bekendtgørelse angående de almindelig betingelser for ydelse af statstilskud til private statanerkendte studentereksamenskursus"
1951-04-25,"Bekendtgørelse om fribefordring af skoleelever m.v."
1951-06-18,"Lov om ændring af lov om offentlig forsorg"
1951-07-10,"Bekendtgørelse om udvidet sprogundervisning og udvidet sprogprøve på seminariernes 4-årige linie"
1951-10-12,"Bekendtgørelse om lærernes deltagelse i inspektions- og tilsynsarbejde ved statens højere almenskoler"
1951-11-03,"Bekendtgørelse om statsunderstøttelse til efterskoleelever"
1951-11-27,"Anordning om ændring i anordning angående karaktergivningen ved de højere almenskoler og censoren ved disse skolers afsluttende eksaminer"
1952-01-08,"Bekendtgørelse om ændring af bekendtgørelse angående almindelig forberedelseseksamen ved eksamensberettigede skoler"
1952-01-10,"Bekendtgørelse om dispensationer fra bestemmelser om eksamenspensa ved studentereksamen"
1952-02-09,"Bekendtgørelse om optagelsesprøven, undervisningen og de afsluttede prøver på husholdningsseminarierne"
1952-03-07,"Lov om forlængelse af lov nr. 351 af 4. juni 1947 om en midlertidig ordning af lærereksamen for studenter"
1952-03-07,"Lov om Aarhus Universitet"
1952-03-31,"Lov om ændring af lov nr. 168 af 31. marts 1949 om oprettelse af et statsseminarium i København"
1952-06-07,"Lov om midlertidig ændring af lov nr. 62 af 24. april 1903 om højere almenskoler m.m."
1952-06-07,"Lov om statens overtagelse af Vestjydsk Gymnasium Tarm"
1952-06-07,"Lov om ændring i lov nr. 412 af 12. juli 1946 om private tysksprogede skoler tysksproget hjemmeundervisning m.m. i de sønderjydske landsdele"
1952-06-13,"Bekendtgørelse af lov om private tysksprogede skoler tysksproget hjemmeundervisning m.m. i de sønderjydske landsdele"
1952-07-08,"Bekendtgørelse om ændring i reglerne for beregning og opkrævning af skoleafgift"
1952-09-11,"Anordning om optagelsesprøve til eksamensmellemskolen ved statens og de kommunale skoler i Københavns Frederiksberg og Gentofte kommuner"
1952-10-22,"Bekendtgørelse om private tysksprogede skoler tysksproget hjemmeundervisning m.m. i de sønderjydske landsdele"
1952-11-29,"Bekendtgørelse om dispensationer fra bestemmelser om eksamenspansa ved studentereksamen"
1953-04-08,"Anordning angående undervisningen i gymnasiet - 8. april 1953"
1953-04-09,"Bekendtgørelse om undervisningen i gymnasiet - 9. april 1953"
1953-04-18,"Anordning om fordringerne ved og eksamensopgivelserne til studentereksamen"
1953-05-04,"Bekendtgørelse om fribefordring af skoleelever m.v."
1953-06-05,"Danmarks Riges Grundlov af 5. juni 1953, § 76"
1953-06-08,"Anordning om studentereksamen for elever der dimitteres af Lagtingets Studenterkursus Thorshavn"
1953-09-02,"Bekendtgørelse om ændringer i bestemmelser for Færøernes mellem- og realskole"
